date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition
2024-01-01,New York,-4.3,59,9.7,23.0,Foggy
2024-01-01,London,28.6,23,58.6,23.2,Cloudy
2024-01-01,Tokyo,34.3,71,11.1,43.6,Snowy
2024-01-01,Sydney,15.9,20,51.6,3.5,Snowy
2024-01-01,Mumbai,10.0,24,17.8,37.6,Snowy
2024-01-01,Paris,37.6,89,34.5,10.4,Snowy
2024-01-01,Berlin,-1.4,62,44.1,2.7,Snowy
2024-01-01,Toronto,11.4,26,6.7,18.3,Foggy
2024-01-01,Dubai,-3.2,66,10.5,27.9,Sunny
2024-01-01,Singapore,20.2,46,8.3,16.7,Foggy
2024-01-08,New York,0.1,81,44.2,37.6,Partly Cloudy
2024-01-08,London,38.2,46,45.2,38.0,Rainy
2024-01-08,Tokyo,10.9,54,30.2,21.1,Sunny
2024-01-08,Sydney,-2.1,64,27.1,25.1,Partly Cloudy
2024-01-08,Mumbai,0.5,88,40.7,26.6,Rainy
2024-01-08,Paris,15.3,67,48.0,47.3,Partly Cloudy
2024-01-08,Berlin,39.0,28,11.3,44.2,Sunny
2024-01-08,Toronto,-1.4,42,17.3,47.8,Sunny
2024-01-08,Dubai,2.4,34,41.8,24.8,Partly Cloudy
2024-01-08,Singapore,4.2,22,17.6,48.5,Foggy
2024-01-15,New York,36.9,80,20.8,22.2,Snowy
2024-01-15,London,-4.0,44,3.8,43.6,Cloudy
2024-01-15,Tokyo,32.6,86,38.7,20.6,Rainy
2024-01-15,Sydney,24.5,61,29.2,33.3,Foggy
2024-01-15,Mumbai,32.9,76,27.5,28.4,Partly Cloudy
2024-01-15,Paris,8.8,53,13.6,18.6,Rainy
2024-01-15,Berlin,29.6,26,8.9,14.2,Cloudy
2024-01-15,Toronto,22.8,40,42.7,14.3,Cloudy
2024-01-15,Dubai,32.8,39,9.7,5.8,Rainy
2024-01-15,Singapore,20.9,76,15.6,9.2,Foggy
2024-01-22,New York,26.8,60,58.7,7.4,Stormy
2024-01-22,London,19.3,40,32.0,6.1,Sunny
2024-01-22,Tokyo,13.2,83,46.1,47.4,Rainy
2024-01-22,Sydney,2.0,89,58.5,16.6,Snowy
2024-01-22,Mumbai,8.3,57,58.2,37.7,Foggy
2024-01-22,Paris,25.0,92,43.7,46.1,Rainy
2024-01-22,Berlin,26.0,81,54.0,7.0,Foggy
2024-01-22,Toronto,0.3,23,24.1,42.0,Stormy
2024-01-22,Dubai,11.1,61,3.3,32.1,Foggy
2024-01-22,Singapore,18.7,55,11.7,4.2,Partly Cloudy
2024-02-01,New York,15.0,31,58.6,19.7,Stormy
2024-02-01,London,9.3,85,56.6,45.4,Rainy
2024-02-01,Tokyo,12.9,74,22.2,18.6,Rainy
2024-02-01,Sydney,10.5,59,58.7,43.7,Sunny
2024-02-01,Mumbai,4.7,76,44.5,20.8,Stormy
2024-02-01,Paris,8.0,74,43.7,20.7,Partly Cloudy
2024-02-01,Berlin,21.4,31,8.6,15.2,Partly Cloudy
2024-02-01,Toronto,18.6,62,4.0,48.0,Partly Cloudy
2024-02-01,Dubai,11.9,20,24.6,45.7,Stormy
2024-02-01,Singapore,2.9,79,42.6,37.8,Cloudy
2024-02-08,New York,4.0,68,17.4,24.5,Partly Cloudy
2024-02-08,London,32.2,94,18.2,28.0,Stormy
2024-02-08,Tokyo,5.1,20,9.2,15.0,Snowy
2024-02-08,Sydney,32.5,80,7.5,33.3,Rainy
2024-02-08,Mumbai,13.8,82,54.4,32.2,Sunny
2024-02-08,Paris,0.4,55,29.6,48.5,Foggy
2024-02-08,Berlin,28.6,94,28.8,21.8,Rainy
2024-02-08,Toronto,23.3,80,58.5,40.9,Rainy
2024-02-08,Dubai,18.1,93,1.1,13.0,Foggy
2024-02-08,Singapore,-2.4,60,27.7,34.7,Rainy
2024-02-15,New York,2.3,54,21.7,31.8,Rainy
2024-02-15,London,-2.8,57,31.8,46.8,Foggy
2024-02-15,Tokyo,3.7,43,45.9,29.9,Cloudy
2024-02-15,Sydney,19.5,60,49.6,34.2,Rainy
2024-02-15,Mumbai,7.2,66,5.8,29.0,Partly Cloudy
2024-02-15,Paris,1.5,37,31.1,18.7,Stormy
2024-02-15,Berlin,13.5,40,6.1,7.7,Cloudy
2024-02-15,Toronto,32.4,91,36.8,41.6,Foggy
2024-02-15,Dubai,33.1,90,42.1,40.1,Stormy
2024-02-15,Singapore,15.7,29,7.0,6.6,Sunny
2024-02-22,New York,16.6,59,41.5,7.0,Stormy
2024-02-22,London,35.0,86,45.8,17.1,Snowy
2024-02-22,Tokyo,8.7,35,13.3,42.8,Cloudy
2024-02-22,Sydney,26.0,59,7.5,6.5,Sunny
2024-02-22,Mumbai,14.1,34,4.7,38.7,Partly Cloudy
2024-02-22,Paris,14.4,45,6.5,39.7,Foggy
2024-02-22,Berlin,21.7,80,7.1,12.7,Sunny
2024-02-22,Toronto,8.6,21,45.3,39.1,Foggy
2024-02-22,Dubai,4.2,45,11.1,17.6,Sunny
2024-02-22,Singapore,1.6,55,56.9,17.4,Cloudy
2024-03-01,New York,33.5,50,30.3,3.4,Partly Cloudy
2024-03-01,London,21.0,21,31.7,35.8,Rainy
2024-03-01,Tokyo,2.7,88,0.3,36.3,Cloudy
2024-03-01,Sydney,36.4,80,22.0,29.5,Stormy
2024-03-01,Mumbai,25.3,33,10.9,17.7,Stormy
2024-03-01,Paris,14.1,85,13.7,5.6,Rainy
2024-03-01,Berlin,0.6,34,31.2,24.8,Rainy
2024-03-01,Toronto,26.7,91,43.3,4.1,Stormy
2024-03-01,Dubai,0.2,56,27.4,36.8,Snowy
2024-03-01,Singapore,38.9,76,13.6,20.4,Partly Cloudy
2024-03-08,New York,14.3,28,53.7,40.1,Snowy
